City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ambilobe,MG,75.18,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
13,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Kedougou,SN,77.58,light rain,12.5579,-12.1743,Relais de Kédougou
21,Butaritari,KI,81.57,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
23,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
27,Ternate,ID,81.5,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
30,Isangel,VU,82.51,light rain,-19.55,169.2667,Tanna Lodge
32,Kapaa,US,80.92,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Catamarca,AR,89.78,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
42,Faanui,PF,79.88,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
49,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
50,Kilindoni,TZ,77.23,broken clouds,-7.9139,39.6668,Bustani B&B
51,Sur,OM,79.92,clear sky,22.5667,59.5289,Sur Plaza Hotel
54,Atuona,PF,78.13,few clouds,-9.8,-139.0333,Villa Enata
57,Baleshwar,IN,78.69,overcast clouds,21.4942,86.9317,Banjara Hotels Pvt Ltd
60,Kenda,IN,75.96,broken clouds,23.2,86.5333,Gouranga Hindu Hotel
65,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort
68,Concordia,AR,75.27,clear sky,-31.393,-58.0209,Palmar Hotel Casino
74,Kavaratti,IN,82.15,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
76,Hilo,US,77.79,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
78,Atar,MR,87.28,few clouds,20.5169,-13.0499,Oumou Elghoura
81,Lazaro Cardenas,MX,84.74,scattered clouds,17.9583,-102.2,quinta antigua
83,Yanam,IN,76.14,overcast clouds,16.7333,82.2167,The Regency Hotel
85,Prainha,BR,87.89,few clouds,-1.8,-53.48,Casa Rocha
88,Galle,LK,80.17,overcast clouds,6.0367,80.217,Amangalla
89,Libertador General San Martin,AR,89.98,scattered clouds,-23.8064,-64.7876,Posada del Sol
92,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
94,Zinder,NE,86.67,clear sky,13.8072,8.9881,Hotel de Ville
101,Sola,VU,84.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
102,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
105,Kirakira,SB,83.21,broken clouds,-10.4544,161.9205,SanBiz Lodge
111,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
115,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
117,Lagunas,PE,83.98,moderate rain,-5.2269,-75.6753,Hospedaje Eco
118,Bengkulu,ID,75.33,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
130,Victoria,HK,77.32,light rain,22.2855,114.1577,Mini Hotel Central
131,Labuhan,ID,77.04,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
134,Maceio,BR,80.04,clear sky,-9.6658,-35.7353,Poutur Pousada
136,Bhandaria,BD,78.62,broken clouds,22.4861,90.0609,Syfur Rahman
141,Puerto Cabezas,NI,85.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
143,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
