City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Coihaique,CL,2021-10-12 21:51:27,-45.5752,-72.0662,57.81,50,40,6.91,scattered clouds
1,Ambilobe,MG,2021-10-12 21:41:48,-13.2,49.05,75.18,77,100,1.45,overcast clouds
2,Ushuaia,AR,2021-10-12 21:51:27,-54.8,-68.3,55.06,38,75,18.41,broken clouds
3,Bara,NG,2021-10-12 21:41:49,10.3744,10.7288,78.78,43,72,3.83,broken clouds
4,Christchurch,NZ,2021-10-12 21:40:47,-43.5333,172.6333,45.0,89,75,11.01,moderate rain
5,Cape Town,ZA,2021-10-12 21:47:00,-33.9258,18.4232,64.09,81,20,1.99,few clouds
6,Punta Arenas,CL,2021-10-12 21:51:28,-53.15,-70.9167,57.31,35,75,19.57,broken clouds
7,Ostrovnoy,RU,2021-10-12 21:51:28,68.0531,39.5131,43.74,86,97,19.6,overcast clouds
8,Saskylakh,RU,2021-10-12 21:51:29,71.9167,114.0833,9.23,97,99,4.63,overcast clouds
9,Rikitea,PF,2021-10-12 21:51:29,-23.1203,-134.9692,74.25,74,66,9.8,broken clouds
10,Albany,US,2021-10-12 21:49:56,42.6001,-73.9662,72.01,72,20,3.78,few clouds
11,Shelburne,CA,2021-10-12 21:41:50,44.0787,-80.2041,69.67,72,72,13.09,broken clouds
12,Yellowknife,CA,2021-10-12 21:49:05,62.456,-114.3525,43.41,75,75,14.97,broken clouds
13,Puerto Ayora,EC,2021-10-12 21:51:30,-0.7393,-90.3518,80.56,87,58,8.01,broken clouds
14,Port Alfred,ZA,2021-10-12 21:51:30,-33.5906,26.891,62.29,86,89,1.05,overcast clouds
15,Heishan,CN,2021-10-12 21:41:50,41.6892,122.1128,48.96,82,0,5.93,clear sky
16,Havre-Saint-Pierre,CA,2021-10-12 21:41:51,50.2334,-63.5986,59.59,94,1,6.91,clear sky
17,Saint-Pierre,RE,2021-10-12 21:41:51,-21.3393,55.4781,73.08,94,90,9.22,light rain
18,Chahal,GT,2021-10-12 21:41:52,15.75,-89.5667,90.68,51,17,1.57,few clouds
19,Busselton,AU,2021-10-12 21:51:31,-33.65,115.3333,47.05,86,56,7.25,broken clouds
20,Kedougou,SN,2021-10-12 21:41:52,12.5579,-12.1743,77.58,94,40,9.22,light rain
21,Butaritari,KI,2021-10-12 21:51:32,3.0707,172.7902,81.57,68,41,7.16,scattered clouds
22,Mataura,NZ,2021-10-12 21:51:32,-46.1927,168.8643,42.64,91,100,4.63,overcast clouds
23,Avarua,CK,2021-10-12 21:51:33,-21.2078,-159.775,77.05,69,75,11.5,light rain
24,Souillac,MU,2021-10-12 21:51:33,-20.5167,57.5167,73.78,88,40,3.44,scattered clouds
25,Belmonte,BR,2021-10-12 21:51:33,-15.8631,-38.8828,72.1,91,98,10.09,overcast clouds
26,Nikolskoye,RU,2021-10-12 21:51:34,59.7035,30.7861,42.87,86,92,5.5,overcast clouds
27,Ternate,ID,2021-10-12 21:41:53,0.8,127.4,81.5,80,99,2.95,overcast clouds
28,Hermanus,ZA,2021-10-12 21:51:34,-34.4187,19.2345,62.8,81,94,6.44,overcast clouds
29,Polson,US,2021-10-12 21:41:54,47.6936,-114.1632,49.37,34,1,0.96,clear sky
30,Isangel,VU,2021-10-12 21:51:35,-19.55,169.2667,82.51,69,75,9.22,light rain
31,Albanel,CA,2021-10-12 21:51:35,48.8832,-72.4487,73.54,60,100,3.44,overcast clouds
32,Kapaa,US,2021-10-12 21:51:35,22.0752,-159.319,80.92,78,75,4.0,moderate rain
33,Warwick,US,2021-10-12 21:40:06,41.7001,-71.4162,72.32,76,75,4.61,broken clouds
34,Sangar,RU,2021-10-12 21:41:55,63.9242,127.4739,13.33,92,45,2.82,scattered clouds
35,Saint-Philippe,RE,2021-10-12 21:51:36,-21.3585,55.7679,72.99,88,68,4.63,broken clouds
36,Emerald,AU,2021-10-12 21:41:55,-23.5333,148.1667,71.74,64,1,12.66,clear sky
37,Narsaq,GL,2021-10-12 21:51:36,60.9167,-46.05,36.9,69,4,1.86,clear sky
38,Talaya,RU,2021-10-12 21:41:56,61.3833,152.75,17.15,94,100,1.1,light snow
39,Catamarca,AR,2021-10-12 21:50:53,-28.4696,-65.7852,89.78,48,35,11.01,scattered clouds
