City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Voi,KE,2021-10-12 19:25:13,-3.3945,38.563,71.55,80,100,11.36
1,Hilo,US,2021-10-12 19:25:14,19.7297,-155.09,82.27,93,90,6.91
2,San Policarpo,PH,2021-10-12 19:25:14,12.1791,125.5072,80.11,80,99,8.21
3,Kedrovoye,RU,2021-10-12 19:25:14,57.1576,60.5698,47.64,92,100,5.73
4,Zlate Hory,CZ,2021-10-12 19:25:15,50.2638,17.396,46.18,88,100,3.02
5,Avarua,CK,2021-10-12 19:25:15,-21.2078,-159.775,73.45,94,75,6.91
6,Bredasdorp,ZA,2021-10-12 19:25:16,-34.5322,20.0403,62.28,88,100,0.0
7,Labuhan,ID,2021-10-12 19:25:16,-6.8844,112.2051,78.12,76,100,9.82
8,San Cristobal,VE,2021-10-12 19:25:16,7.7669,-72.225,87.98,72,100,7.74
9,Nizhniy Kuranakh,RU,2021-10-12 19:25:17,58.8353,125.4869,20.98,76,7,5.91
10,Tuatapere,NZ,2021-10-12 19:25:17,-46.1333,167.6833,42.22,84,100,6.15
11,Caravelas,BR,2021-10-12 19:25:17,-17.7125,-39.2481,69.64,88,100,9.71
12,Mataura,NZ,2021-10-12 19:25:18,-46.1927,168.8643,40.87,87,100,5.37
13,Belaya Gora,RU,2021-10-12 19:25:18,68.5333,146.4167,17.6,87,100,9.55
14,Hermanus,ZA,2021-10-12 19:25:18,-34.4187,19.2345,62.8,84,99,2.86
15,Dikson,RU,2021-10-12 19:25:19,73.5069,80.5464,29.08,82,77,16.33
16,Christchurch,NZ,2021-10-12 19:25:19,-43.5333,172.6333,45.0,89,90,14.0
17,Manuk Mangkaw,PH,2021-10-12 19:25:19,4.8,119.85,83.46,80,100,15.48
18,Flinders,AU,2021-10-12 19:25:19,-34.5833,150.8552,59.2,87,100,1.01
19,Kholm,RU,2021-10-12 19:25:20,59.2667,32.85,43.38,74,100,6.46
20,New Norfolk,AU,2021-10-12 19:25:20,-42.7826,147.0587,45.72,70,100,1.99
21,Portland,US,2021-10-12 19:24:30,45.5234,-122.6762,52.63,77,90,1.01
22,Tasiilaq,GL,2021-10-12 19:25:21,65.6145,-37.6368,33.96,63,0,0.6
23,Dunedin,NZ,2021-10-12 19:25:21,-45.8742,170.5036,43.81,75,100,15.99
24,Punta Arenas,CL,2021-10-12 19:24:58,-53.15,-70.9167,59.11,29,75,23.02
25,Turbat,PK,2021-10-12 19:25:21,26.0023,63.044,79.39,10,0,12.93
26,Jamestown,US,2021-10-12 19:22:35,42.097,-79.2353,75.02,66,90,7.0
27,Kapaa,US,2021-10-12 19:25:22,22.0752,-159.319,82.38,81,75,5.01
28,Mar Del Plata,AR,2021-10-12 19:25:22,-38.0023,-57.5575,64.0,60,40,4.0
29,Tuktoyaktuk,CA,2021-10-12 19:25:22,69.4541,-133.0374,26.6,93,40,9.22
30,Mareeba,AU,2021-10-12 19:25:23,-17.0,145.4333,65.44,95,0,1.34
31,Norman Wells,CA,2021-10-12 19:21:33,65.282,-126.8329,32.04,80,75,13.8
32,Alice Springs,AU,2021-10-12 19:25:23,-23.7,133.8833,60.35,51,0,14.97
33,Turinsk,RU,2021-10-12 19:25:24,58.0458,63.696,42.73,92,100,6.04
34,Daru,PG,2021-10-12 19:25:24,-9.0763,143.2092,78.33,89,100,7.29
35,Coihaique,CL,2021-10-12 19:25:24,-45.5752,-72.0662,60.75,39,40,4.61
36,Ulaangom,MN,2021-10-12 19:25:25,49.9811,92.0667,36.66,40,95,4.29
37,Atuona,PF,2021-10-12 19:25:25,-9.8,-139.0333,78.08,72,11,18.16
38,Vardo,NO,2021-10-12 19:25:25,70.3705,31.1107,41.2,87,75,12.66
39,Bengkulu,ID,2021-10-12 19:25:25,-3.8004,102.2655,75.34,91,96,3.6
40,Carmelo,UY,2021-10-12 19:25:26,-33.9892,-58.2856,72.19,68,39,5.37
41,Torbay,CA,2021-10-12 19:25:26,47.6666,-52.7314,49.28,91,90,19.57
42,Esperance,AU,2021-10-12 19:25:26,-33.8667,121.9,53.44,70,100,23.09
43,Lagoa,PT,2021-10-12 19:25:27,39.05,-27.9833,69.33,71,6,10.6
44,Saskylakh,RU,2021-10-12 19:25:27,71.9167,114.0833,9.99,98,99,4.05
45,Rikitea,PF,2021-10-12 19:25:28,-23.1203,-134.9692,73.92,73,13,11.36
46,Chuy,UY,2021-10-12 19:25:28,-33.6971,-53.4616,68.81,74,21,6.6
47,Vanimo,PG,2021-10-12 19:25:28,-2.6741,141.3028,78.55,87,18,2.39
48,Stepnogorsk,KZ,2021-10-12 19:25:29,52.3544,71.8869,40.89,72,98,12.91
49,Laguna,US,2021-10-12 19:25:29,38.421,-121.4238,69.08,22,1,8.01
50,Arraial Do Cabo,BR,2021-10-12 19:25:29,-22.9661,-42.0278,67.96,94,90,16.11
51,Khatanga,RU,2021-10-12 19:25:30,71.9667,102.5,12.36,96,99,6.85
52,Hamilton,US,2021-10-12 19:24:10,39.1834,-84.5333,79.75,63,75,4.0
53,East London,ZA,2021-10-12 19:25:15,-33.0153,27.9116,66.56,78,100,0.43
54,Birecik,TR,2021-10-12 19:25:30,37.0294,37.9903,63.61,35,99,3.09
55,Jacareacanga,BR,2021-10-12 19:25:30,-6.2222,-57.7528,86.67,60,100,3.27
56,Kahului,US,2021-10-12 19:23:04,20.8947,-156.47,88.86,81,20,19.57
57,La Ronge,CA,2021-10-12 19:25:31,55.1001,-105.2842,39.45,56,20,5.75
58,Husavik,IS,2021-10-12 19:25:31,66.0449,-17.3389,33.71,89,100,6.15
59,Wanning,CN,2021-10-12 19:25:32,18.8003,110.3967,72.0,90,100,24.2
60,Ushuaia,AR,2021-10-12 19:22:39,-54.8,-68.3,56.82,41,75,8.05
61,Faya,SA,2021-10-12 19:25:32,18.3851,42.4509,68.11,19,74,9.42
62,Goderich,CA,2021-10-12 19:25:33,43.7501,-81.7165,73.9,73,17,12.66
63,Hithadhoo,MV,2021-10-12 19:25:33,-0.6,73.0833,82.53,77,100,15.37
64,Muroto,JP,2021-10-12 19:25:33,33.2833,134.15,75.27,84,78,8.03
65,Ostrovnoy,RU,2021-10-12 19:25:34,68.0531,39.5131,43.9,80,89,22.84
66,Wewak,PG,2021-10-12 19:25:34,-3.5534,143.6268,80.74,82,88,4.85
67,Kenitra,MA,2021-10-12 19:25:34,34.261,-6.5802,68.85,87,0,5.46
68,Busselton,AU,2021-10-12 19:25:35,-33.65,115.3333,46.04,78,100,6.76
69,Strezhevoy,RU,2021-10-12 19:25:35,60.7333,77.5889,31.98,93,98,5.64
70,Iguape,BR,2021-10-12 19:25:35,-24.7081,-47.5553,72.16,85,25,11.83
71,Bandarbeyla,SO,2021-10-12 19:22:43,9.4942,50.8122,79.12,83,30,13.33
72,Muswellbrook,AU,2021-10-12 19:25:36,-32.2667,150.9,55.33,99,100,4.65
73,Cape Town,ZA,2021-10-12 19:24:43,-33.9258,18.4232,66.09,78,20,3.0
74,Constitucion,CL,2021-10-12 19:25:36,-35.3333,-72.4167,57.9,69,50,8.21
75,Bluff,NZ,2021-10-12 19:25:37,-46.6,168.3333,44.78,73,100,19.89
76,Hobart,AU,2021-10-12 19:23:13,-42.8794,147.3294,46.06,80,75,1.01
77,Sitka,US,2021-10-12 19:25:37,57.0531,-135.33,46.29,87,90,9.22
78,Matagami,CA,2021-10-12 19:25:37,49.7502,-77.6328,62.71,100,90,4.61
79,Atar,MR,2021-10-12 19:25:38,20.5169,-13.0499,93.52,12,6,10.07
80,Isangel,VU,2021-10-12 19:25:38,-19.55,169.2667,73.51,83,91,3.44
81,Puerto Ayora,EC,2021-10-12 19:25:38,-0.7393,-90.3518,80.56,86,64,8.01
82,Vaini,TO,2021-10-12 19:25:39,-21.2,-175.2,69.96,83,20,4.61
83,Matara,LK,2021-10-12 19:25:39,5.9485,80.5353,79.07,86,100,11.83
84,Albany,US,2021-10-12 19:21:15,42.6001,-73.9662,76.68,61,63,1.01
85,Nikolskoye,RU,2021-10-12 19:25:40,59.7035,30.7861,45.88,82,69,6.44
86,Kaitangata,NZ,2021-10-12 19:25:40,-46.2817,169.8464,44.22,72,100,15.52
87,Sterlibashevo,RU,2021-10-12 19:25:40,53.4376,55.2578,48.27,59,100,4.21
88,Faanui,PF,2021-10-12 19:25:41,-16.4833,-151.75,80.06,77,16,9.86
89,Poum,NC,2021-10-12 19:21:24,-20.2333,164.0167,76.06,88,59,7.94
90,Bethel,US,2021-10-12 19:20:47,41.3712,-73.414,75.07,67,1,3.44
91,Geraldton,AU,2021-10-12 19:25:41,-28.7667,114.6,50.41,76,3,11.5
92,Cedral,MX,2021-10-12 19:25:41,23.8,-100.7333,81.77,40,13,8.37
93,Saint-Philippe,RE,2021-10-12 19:25:42,-21.3585,55.7679,72.99,90,58,5.41
94,Ocampo,MX,2021-10-12 19:25:42,21.65,-101.5,67.95,43,32,6.51
95,Ambon,ID,2021-10-12 19:25:43,-3.6954,128.1814,77.14,94,40,4.61
